total_words_used,total_paragraphs,average_word_length,average_words_per_paragraphs,most_frequent_words
1237,92,6.022635408245756,13.445652173913043,"[('zhang', 26), ('xuan', 25), ('teacher', 24), ('girl', 15), ('would', 14)]"
1173,91,5.909633418584825,12.89010989010989,"[('teacher', 41), ('zhang', 24), ('xuan', 19), ('students', 18), ('student', 18)]"
1181,122,5.912785774767147,9.680327868852459,"[('zhang', 27), ('teacher', 23), ('xuan', 22), ('cao', 22), ('student', 20)]"
1089,94,5.731864095500459,11.585106382978724,"[('zhang', 22), ('xuan', 18), ('teacher', 15), ('liu', 15), ('yang', 15)]"
1075,102,5.647441860465117,10.53921568627451,"[('zhao', 33), ('ya', 33), ('zhang', 23), ('xuan', 22), ('teacher', 19)]"
1114,91,5.631956912028725,12.241758241758241,"[('zhao', 25), ('ya', 24), ('would', 20), ('zhang', 18), ('young', 16)]"
860,81,5.944186046511628,10.617283950617283,"[('teacher', 18), ('spear', 16), ('yang', 14), ('zheng', 13), ('would', 11)]"
927,92,5.839266450916936,10.076086956521738,"[('zheng', 23), ('yang', 23), ('teacher', 22), ('spear', 22), ('zhang', 17)]"
916,80,5.7663755458515285,11.45,"[('would', 28), ('teacher', 26), ('zhang', 19), ('xuan', 19), ('bet', 13)]"
1068,86,5.76310861423221,12.418604651162791,"[('students', 22), ('would', 20), ('qian', 19), ('biao', 18), ('teacher', 17)]"
974,80,5.803901437371663,12.175,"[('zhang', 15), ('xuan', 15), ('teacher', 14), ('qian', 12), ('biao', 12)]"
1062,82,5.944444444444445,12.951219512195122,"[('zhang', 19), ('xuan', 19), ('would', 19), ('one', 19), ('bloodline', 15)]"
797,69,5.825595984943538,11.55072463768116,"[('zhang', 30), ('xuan', 28), ('teacher', 16), ('fatty', 13), ('student', 12)]"
1141,93,6.128834355828221,12.268817204301076,"[('cultivation', 23), ('dan', 21), ('path', 18), ('technique', 15), ('flaws', 15)]"
1025,90,5.87609756097561,11.38888888888889,"[('one', 24), ('dan', 20), ('cultivation', 18), ('zhang', 17), ('xuan', 17)]"
1048,92,5.800572519083969,11.391304347826088,"[('body', 39), ('one', 27), ('dan', 24), ('realm', 22), ('zhenqi', 20)]"
1023,88,5.924731182795699,11.625,"[('dan', 22), ('one', 19), ('cultivation', 18), ('zhang', 18), ('xuan', 18)]"
1018,113,5.735756385068762,9.008849557522124,"[('zhang', 39), ('xuan', 39), ('man', 21), ('would', 18), ('black', 16)]"
965,82,5.597927461139896,11.768292682926829,"[('zhang', 29), ('xuan', 28), ('yao', 23), ('han', 17), ('would', 17)]"
